Scopus-224-Analyze-Country

"Your query : (AUTHKEY(""biobanking"") AND PUBYEAR > 1998 AND PUBYEAR < 2016)"


Number of results : 224

"COUNTRY/TERRITORY",
"United States","71"
"United Kingdom","35"
"Germany","33"
"Canada","24"
"Italy","24"
"Australia","17"
"Netherlands","14"
"France","8"
"Sweden","8"
"Austria","7"
"Spain","7"
"Belgium","6"
"Turkey","5"
"Denmark","4"
"Hungary","4"
"Norway","4"
"South Africa","4"
"Switzerland","4"
"Czech Republic","3"
"Greece","3"
"Ireland","3"
"Jordan","3"
"New Zealand","3"
"China","2"
"India","2"
"Portugal","2"
"Brazil","1"
"Cameroon","1"
"Finland","1"
"Ghana","1"
"Lithuania","1"
"Malaysia","1"
"Niger","1"
"Poland","1"
"Puerto Rico","1"
"Russian Federation","1"
"Uganda","1"
"Undefined","8"
