Scopus-1356-Analyze-Country

"Your query : (AUTHKEY(""pollution control"") AND PUBYEAR > 1998 AND PUBYEAR < 2016)"


Number of results : 1356

"COUNTRY/TERRITORY",
"China","426"
"United States","205"
"India","110"
"United Kingdom","83"
"Canada","57"
"Japan","53"
"Germany","43"
"Spain","37"
"Taiwan","37"
"France","32"
"Italy","32"
"South Korea","27"
"Brazil","22"
"Netherlands","20"
"Australia","16"
"Denmark","16"
"Sweden","16"
"Greece","15"
"Hong Kong","15"
"Iran","13"
"Poland","13"
"Romania","13"
"South Africa","13"
"Belgium","12"
"Finland","12"
"Mexico","12"
"Czech Republic","11"
"Turkey","11"
"Nigeria","10"
"Norway","10"
"Switzerland","10"
"Egypt","9"
"Estonia","9"
"Malaysia","9"
"Austria","8"
"Ireland","7"
"Russian Federation","7"
"Israel","5"
"Algeria","4"
"Pakistan","4"
"Serbia","4"
"Slovakia","4"
"Thailand","4"
"United Arab Emirates","4"
"Argentina","3"
"Bangladesh","3"
"Chile","3"
"Jordan","3"
"Latvia","3"
"Morocco","3"
"New Zealand","3"
"Portugal","3"
"Singapore","3"
"Sri Lanka","3"
"Bulgaria","2"
"Colombia","2"
"Croatia","2"
"Cuba","2"
"Philippines","2"
"Saudi Arabia","2"
"Slovenia","2"
"Tunisia","2"
"Ukraine","2"
"Zimbabwe","2"
"Cameroon","1"
"Costa Rica","1"
"Cyprus","1"
"Ethiopia","1"
"Ghana","1"
"Hungary","1"
"Iraq","1"
"Kuwait","1"
"Mozambique","1"
"Nepal","1"
"Palestine","1"
"Syrian Arab Republic","1"
"Tanzania","1"
"Undefined","31"
